,action,효능,tokenized
10,샤워,피부의 노폐물을 제거해서 오염을 없앤다.,"['피부의', '노폐물을', '제거해', '##서', '오염', '##을', '없', '##앤', '##다', '.']"
11,수영,수영은 신체 전부를 운동을 해서 신체 기능을 향상시킨다. 부력을 이용해서 관절에 부담이 없이 운동을 할 수 있다.,"['수영', '##은', '신체', '전부', '##를', '운동을', '해서', '신체', '기능을', '향상', '##시킨다', '.', '부', '##력을', '이용해서', '관절', '##에', '부담이', '없이', '운동을', '할', '수', '있다', '.']"
12,수영,수영은 격력한 운동 후 취짐을 도와준다.,"['수영', '##은', '격', '##력', '##한', '운동', '후', '취', '##짐을', '도와', '##준다', '.']"
13,조깅,조깅은 체지방 감소에 도움을 준다. 심폐기능을 향상시킨다.,"['조', '##깅', '##은', '체지방', '감소', '##에', '도움을', '준다', '.', '심', '##폐기', '##능', '##을', '향상', '##시킨다', '.']"
14,조깅,조깅은 격렬한 운동으로 노폐물의 배출을 돕는다,"['조', '##깅', '##은', '격', '##렬한', '운동으로', '노폐물', '##의', '배출', '##을', '돕는', '##다']"
15,자전거타기,자전거 타기는 하체 근육을 반복적으로 운동하기 때문에 하체의 근육 발달을 도와준다. 하체 뿐만 아니라 허리 근력과 팔과 배 등 전신에 운동이 된다.,"['자전거', '타기', '##는', '하체', '근육을', '반복', '##적으로', '운동', '##하기', '때문에', '하체', '##의', '근육', '발달', '##을', '도와', '##준다', '.', '하체', '뿐만', '아니라', '허리', '근력', '##과', '팔', '##과', '배', '등', '전신', '##에', '운동이', '된다', '.']"
16,자전거타기,자전거 타기는 심장과 혈액 이동이 원활해지면서 노폐물과 이산화탄소가 제거됨으로써 순환기능의 향상으로 이루어진다.,"['자전거', '타기', '##는', '심장', '##과', '혈액', '이동이', '원활', '##해지면서', '노폐물', '##과', '이산화', '##탄소', '##가', '제거', '##됨', '##으로써', '순환', '##기능', '##의', '향상', '##으로', '이루어진', '##다', '.']"
17,요가,요가는 생활에 필요한 에너지를 공급해줘서 신체를 건강하게 해준다.,"['요가', '##는', '생활에', '필요한', '에너지를', '공급', '##해줘서', '신체', '##를', '건강하게', '해준다', '.']"
18,요가,요가는 자세를 올바르게 만들어서 자세로 인한 통증을 완화시켜준다.,"['요가', '##는', '자세를', '올바', '##르게', '만들어서', '자세로', '인한', '통증을', '완화', '##시켜', '##준다', '.']"
19,스트레칭,스트레칭은 근육에 에너지를 많이 주기 때문에 근육 및 관절에 회복에 도움을 준다. 신체를 움직이면서 유연성을 증가시켜준다.,"['스트레칭', '##은', '근육', '##에', '에너지를', '많이', '주기', '때문에', '근육', '및', '관절', '##에', '회복', '##에', '도움을', '준다', '.', '신체', '##를', '움직이', '##면서', '유연', '##성을', '증가', '##시켜', '##준다', '.']"
20,스트레칭,스트레칭은 근육이 부드러워져서 혈액의 흐름을 촉진시킨다.,"['스트레칭', '##은', '근육이', '부드러워', '##져서', '혈액', '##의', '흐름을', '촉진', '##시킨다', '.']"
21,여행,여행은 새로운 경험을 통해서 새로운 시각을 얻게 된다. ,"['여행은', '새로운', '경험을', '통해서', '새로운', '시각', '##을', '얻게', '된다', '.']"
22,여행,여행은 새로운 도전의 연속입니다. 나에 대해서 새로운 능력이나 결점을 발견 할 수도 있습니다.,"['여행은', '새로운', '도전', '##의', '연속', '##입니다', '.', '나', '##에', '대해서', '새로운', '능력이', '##나', '결', '##점을', '발견', '할', '수도', '있습니다', '.']"
